01	0	1	0-1	4	1310	131000
01	0	1	0-2-1	4	1310	131000
01	0	1	0-2-4-1	4	1360	136000
01	0	1	0-3-2-1	6	1600	160000
02	0	2	0-2	3	760	76000
02	0	2	0-3-2	3	1050	105000
02	0	2	0-6-3-2	4	1740	174000
02	0	2	0-1-2	6	1860	186000
03	0	3	0-3	3	390	39000
03	0	3	0-6-3	3	1080	108000
03	0	3	0-2-3	6	1420	142000
03	0	3	0-6-9-3	4	1720	172000
04	0	4	0-2-4	3	970	97000
04	0	4	0-2-5-4	4	1370	137000
04	0	4	0-6-5-4	4	1690	169000
04	0	4	0-1-4	4	1700	170000
05	0	5	0-2-5	3	1150	115000
05	0	5	0-2-4-5	5	1190	119000
05	0	5	0-3-6-5	5	1460	146000
05	0	5	0-6-5	6	1470	147000
06	0	6	0-3-6	3	730	73000
06	0	6	0-6	3	740	74000
06	0	6	0-3-9-6	4	1370	137000
06	0	6	0-2-3-6	4	1760	176000
07	0	7	0-2-4-7	5	1270	127000
07	0	7	0-3-7	6	1480	148000
07	0	7	0-2-5-7	6	1550	155000
07	0	7	0-2-4-5-7	6	1590	159000
08	0	8	0-3-6-8	6	1295	129500
08	0	8	0-6-8	4	1305	130500
08	0	8	0-2-5-8	6	1500	150000
08	0	8	0-2-4-5-8	6	1540	154000
09	0	9	0-3-9	3	1050	105000
09	0	9	0-3-6-9	3	1050	105000
09	0	9	0-6-9	3	1060	106000
09	0	9	0-3-6-8-9	5	2025	202500
010	0	10	0-3-6-8-10	4	1615	161500
010	0	10	0-6-8-10	4	1625	162500
010	0	10	0-2-5-8-10	4	1820	182000
010	0	10	0-2-4-5-8-10	6	1860	186000
10	1	0	1-0	4	1310	131000
10	1	0	1-2-0	4	1310	131000
10	1	0	1-4-2-0	4	1360	136000
10	1	0	1-2-3-0	6	1600	160000
12	1	2	1-2	3	550	55000
12	1	2	1-4-2	3	600	60000
12	1	2	1-7-4-2	3	960	96000
12	1	2	1-4-5-2	3	1000	100000
13	1	3	1-2-3	5	1210	121000
13	1	3	1-4-2-3	4	1260	126000
13	1	3	1-7-3	6	1540	154000
13	1	3	1-7-4-2-3	4	1620	162000
14	1	4	1-4	3	390	39000
14	1	4	1-7-4	3	750	75000
14	1	4	1-2-4	3	760	76000
14	1	4	1-7-5-4	4	1070	107000
15	1	5	1-4-5	3	610	61000
15	1	5	1-7-5	3	850	85000
15	1	5	1-2-5	3	940	94000
15	1	5	1-7-4-5	3	970	97000
16	1	6	1-4-5-6	5	1340	134000
16	1	6	1-4-5-8-6	4	1525	152500
16	1	6	1-2-3-6	6	1550	155000
16	1	6	1-7-5-6	6	1580	158000
17	1	7	1-7	3	450	45000
17	1	7	1-4-7	3	690	69000
17	1	7	1-4-5-7	4	1010	101000
17	1	7	1-2-4-7	3	1060	106000
18	1	8	1-4-5-8	3	960	96000
18	1	8	1-7-8	3	1050	105000
18	1	8	1-2-5-8	5	1290	129000
18	1	8	1-4-7-8	5	1290	129000
19	1	9	1-4-5-6-9	4	1660	166000
19	1	9	1-4-5-8-9	4	1690	169000
19	1	9	1-7-8-9	4	1780	178000
19	1	9	1-2-3-9	6	1870	187000
110	1	10	1-7-10	5	1270	127000
110	1	10	1-4-5-8-10	4	1280	128000
110	1	10	1-4-10	6	1320	132000
110	1	10	1-7-8-10	4	1370	137000
20	2	0	2-0	3	760	76000
20	2	0	2-3-0	3	1050	105000
20	2	0	2-3-6-0	4	1740	174000
20	2	0	2-1-0	6	1860	186000
21	2	1	2-1	3	550	55000
21	2	1	2-4-1	3	600	60000
21	2	1	2-4-7-1	3	960	96000
21	2	1	2-5-4-1	3	1000	100000
23	2	3	2-3	3	660	66000
23	2	3	2-0-3	3	1150	115000
23	2	3	2-5-6-3	5	1460	146000
23	2	3	2-4-5-6-3	6	1500	150000
24	2	4	2-4	3	210	21000
24	2	4	2-5-4	3	610	61000
24	2	4	2-1-4	3	940	94000
24	2	4	2-5-7-4	3	1090	109000
25	2	5	2-5	3	390	39000
25	2	5	2-4-5	3	430	43000
25	2	5	2-4-7-5	3	910	91000
25	2	5	2-1-4-5	3	1160	116000
26	2	6	2-3-6	3	1000	100000
26	2	6	2-5-6	5	1120	112000
26	2	6	2-4-5-6	3	1160	116000
26	2	6	2-5-8-6	4	1305	130500
27	2	7	2-4-7	3	510	51000
27	2	7	2-5-7	3	790	79000
27	2	7	2-4-5-7	3	830	83000
27	2	7	2-1-7	3	1000	100000
28	2	8	2-5-8	3	740	74000
28	2	8	2-4-5-8	3	780	78000
28	2	8	2-4-7-8	4	1110	111000
28	2	8	2-5-7-8	6	1390	139000
29	2	9	2-3-9	6	1320	132000
29	2	9	2-3-6-9	6	1320	132000
29	2	9	2-5-6-9	4	1440	144000
29	2	9	2-5-8-9	6	1470	147000
210	2	10	2-5-8-10	3	1060	106000
210	2	10	2-4-5-8-10	3	1100	110000
210	2	10	2-4-10	4	1140	114000
210	2	10	2-4-7-10	4	1330	133000
